Год,янв,фев,мар,апр,май,июн,июл,авг,сен,окт,ноя,дек,средняя
1944,-6.3,-9,-6.8,-2.9,5.9,10.4,13.3,12.8,9.9,4.7,-3.2,-7.1,1.8
1945,-11.7,-9.8,-9.6,-1.9,2.7,11.5,14.3,16.3,7,-1,-3.9,-16.6,-0.2
1946,-10.5,-16.2,-7.9,-1.2,4.5,13.1,17,14.4,8.8,-0.8,-3.5,-3.3,1.2
1947,-11.4,-19.8,-11.3,-0.4,3.7,14.8,13.4,13.4,9.5,2.4,-3.4,-12.3,-0.1
1948,-12.6,-13,-8.6,0.5,10.2,15.8,12.2,12.1,9,3.5,-1.1,-7.2,1.7
1949,-5.4,-10.2,-8.6,1.2,8.2,11.4,13.3,13.1,9.1,1.7,-3.4,-7.8,1.9
1950,-16.8,-9.8,-5.5,4.2,5.6,11.8,12.2,12.6,8.8,4.2,-2.8,-6.2,1.5
1951,-13.3,-13,-8.3,3.5,3.3,11.3,14.3,16.5,9.2,3.6,-4.8,-5.5,1.4
1952,-6.4,-8.4,-11.7,-1.9,3.3,13.6,16.5,12,7,-1.8,-5,-8.9,0.7
1953,-11.6,-19.3,-6.2,2.7,5.7,15.9,14.5,15.4,4.8,1.3,-3.1,-3.7,1.4
1954,-11,-13.6,-5,0.4,7,13.1,20.1,13.1,9.2,2.4,-5.4,-4.2,2.2
1955,-9.6,-15.2,-12.4,-1.4,5.3,9.6,14.5,12.9,9.1,3.2,-7.9,-22.6,-1.2
1956,-13.4,-16.6,-5.9,-4.2,7.1,15.5,11.8,11.9,5.7,0.4,-11.4,-5.9,-0.4
1957,-9.8,-5.4,-13.9,-1.4,7.6,11.3,18.1,15.6,8.6,2.6,-4.1,-6.4,1.9
1958,-13.4,-12.2,-10.7,-1.3,3.9,11.2,14.3,12.9,5.6,2.4,-2,-19,-0.7
1959,-10.8,-6.4,-2.8,-3,6.3,14.1,15.3,14.7,5.6,-2.1,-4.1,-11.1,1.3
1960,-17.1,-14.9,-8.5,1.5,8.5,12.4,20.7,13.7,6.9,-1.6,-7.4,-6.3,0.7
1961,-9.2,-6.6,-3.9,-3.6,4.5,15.9,18.7,13.7,7.5,6.2,-6,-11.1,2.2
1962,-8.6,-8.6,-11.3,3,8.9,10.2,14.5,12.3,7.8,1.9,-0.3,-10.3,1.6
1963,-17.7,-14.6,-16.6,0.8,11.5,10.3,15,13.6,11.2,3,-5.2,-12.8,-0.1
1964,-10.1,-11,-10,-1.2,7.9,12.7,16.7,14.7,7.2,3.2,-7.8,-8.7,1.1
1965,-14.5,-17,-6.4,0.2,2.7,12.8,13.7,12.7,9.6,1.6,-8.6,-5.9,0.1
1966,-21.4,-24,-12.2,-2.6,7,12.1,16.4,13.2,5.9,-0.6,-0.7,-14.8,-1.8
1967,-16.9,-9.6,-0.5,3.4,6.4,11.7,15.5,17.4,9.3,4.6,0.1,-15.2,2.2
1968,-24,-9.7,-4.9,-2.5,4.5,12.8,11.4,12.8,5.3,-2,-7,-10.2,-1.1
